timestamp, acc_x, acc_y, acc_z, gyro_x, gyro_y, gyro_z
317205.0447032917, -0.000235, 0.005328, -0.047506, 0.004003, -0.027436, -0.106143
317205.05228304176, 0.005034, 0.006360, -0.037562, 0.022990, -0.023876, -0.096534
317205.0624958334, 0.004199, 0.004453, -0.018285, 0.034698, -0.032054, -0.092353
317205.07250316674, 0.001569, -0.000626, -0.005647, 0.042949, -0.056527, -0.092762
317205.0826780834, 0.001059, -0.001706, 0.003055, 0.048460, -0.084248, -0.103035
317205.0826780834, 0.001059, -0.001706, 0.003055, 0.048460, -0.084248, -0.103035
317205.0826780834, 0.001059, -0.001706, 0.003055, 0.048460, -0.084248, -0.103035
317205.0925587084, -0.005126, -0.000564, 0.007846, 0.046036, -0.101211, -0.115567
317205.1224297084, -0.002819, 0.009361, 0.004123, 0.012753, -0.100237, -0.126523
317205.1324815417, 0.000317, 0.010335, -0.001394, 0.002477, -0.087313, -0.129369
317205.1424281251, -0.002442, 0.009263, -0.009047, -0.006032, -0.064466, -0.135123
317205.15211529174, -0.006527, 0.009353, -0.013741, -0.009737, -0.049719, -0.139050
317205.1624419584, -0.005019, 0.009214, -0.016451, -0.007744, -0.026318, -0.139732
317205.1718051251, -0.001968, 0.010666, -0.015621, -0.006127, -0.022415, -0.138246
317205.18242300005, 0.003679, 0.013120, -0.009440, 0.005805, -0.029629, -0.127488
317205.1924844167, 0.011181, 0.012833, -0.003295, 0.016098, -0.045351, -0.115674
317205.20221475005, 0.017470, 0.008163, 0.000432, 0.024981, -0.059736, -0.105228
317205.20221475005, 0.017470, 0.008163, 0.000432, 0.024981, -0.059736, -0.105228
317205.2224722084, 0.016473, 0.011942, 0.015766, 0.025410, -0.098631, -0.087773
317205.2419540834, 0.007705, 0.008184, 0.027284, 0.016611, -0.113225, -0.078846
317205.25242225005, 0.008470, 0.007687, 0.027740, 0.014552, -0.110720, -0.085459
317205.2624203334, 0.003448, 0.002401, 0.023513, 0.017904, -0.101364, -0.102095
317205.2724451667, -0.000877, 0.001773, 0.017953, 0.017200, -0.095233, -0.105866
